IoU Threshold,Total Photos,TP,Redundant TP,FP,FN,Precission,Recall
0.5,146,102,6,58,44,0.6144578313253012,0.6986301369863014
0.55,146,95,2,69,51,0.572289156626506,0.6506849315068494
0.6,146,78,2,86,68,0.46987951807228917,0.5342465753424658
0.65,146,61,1,104,85,0.3674698795180723,0.4178082191780822
0.7000000000000001,146,40,0,126,106,0.24096385542168675,0.273972602739726
0.75,146,21,0,145,125,0.12650602409638553,0.14383561643835616
0.8,146,13,0,153,133,0.0783132530120482,0.08904109589041095
0.85,146,5,0,161,141,0.030120481927710843,0.03424657534246575
0.9,146,1,0,165,145,0.006024096385542169,0.00684931506849315
0.9500000000000001,146,0,0,166,146,0.0,0.0
