IoU Threshold,Total Photos,TP,Redundant TP,FP,FN,Precission,Recall
0.5,146,102,5,59,44,0.6144578313253012,0.6986301369863014
0.55,146,96,3,67,50,0.5783132530120482,0.6575342465753424
0.6,146,81,2,83,65,0.4879518072289157,0.5547945205479452
0.65,146,63,1,102,83,0.3795180722891566,0.4315068493150685
0.7000000000000001,146,41,0,125,105,0.2469879518072289,0.2808219178082192
0.75,146,20,0,146,126,0.12048192771084337,0.136986301369863
0.8,146,12,0,154,134,0.07228915662650602,0.0821917808219178
0.85,146,5,0,161,141,0.030120481927710843,0.03424657534246575
0.9,146,1,0,165,145,0.006024096385542169,0.00684931506849315
0.9500000000000001,146,0,0,166,146,0.0,0.0
